#,.,.,.,.,.,.,.
.,.,.,.,.,#,.,.
.,.,.,.,.,.,.,#
.,.,#,.,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,#,.,.,.,.
.,#,.,.,.,.,.,.
.,.,.,.,#,.,.,.

=,=,=,=,=,=,=,=

#,.,.,.,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,#,.,.,.,.
.,.,.,.,.,#,.,.
.,.,.,.,.,.,.,#
.,#,.,.,.,.,.,.
.,.,.,.,#,.,.,.
.,.,#,.,.,.,.,.

=,=,=,=,=,=,=,=

#,.,.,.,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,.,#,.,.,.
.,.,.,.,.,.,.,#
.,#,.,.,.,.,.,.
.,.,.,#,.,.,.,.
.,.,.,.,.,#,.,.
.,.,#,.,.,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,#,.,.,.,.
.,.,.,.,.,#,.,.
.,.,.,.,.,.,.,#
.,.,#,.,.,.,.,.
#,.,.,.,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,.,#,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,.,#,.,.,.
.,.,.,.,.,.,#,.
#,.,.,.,.,.,.,.
.,.,#,.,.,.,.,.
.,.,.,.,.,.,.,#
.,.,.,.,.,#,.,.
.,.,.,#,.,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,.,#,.,.,.
.,.,.,.,.,.,#,.
.,.,.,#,.,.,.,.
#,.,.,.,.,.,.,.
.,.,.,.,.,.,.,#
.,.,.,.,.,#,.,.
.,.,#,.,.,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,.,.,#,.,.
#,.,.,.,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,#,.,.,.,.
.,.,.,.,.,.,.,#
.,.,#,.,.,.,.,.
.,.,.,.,#,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,.,.,#,.,.
.,.,.,.,.,.,.,#
.,.,#,.,.,.,.,.
#,.,.,.,.,.,.,.
.,.,.,#,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,.,#,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,.,.,.,#,.
.,.,.,.,#,.,.,.
.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.
.,.,.,#,.,.,.,.
.,.,.,.,.,#,.,.
.,.,#,.,.,.,.,.

=,=,=,=,=,=,=,=

.,#,.,.,.,.,.,.
.,.,.,.,.,.,.,#
.,.,.,.,.,#,.,.
#,.,.,.,.,.,.,.
.,.,#,.,.,.,.,.
.,.,.,.,#,.,.,.
.,.,.,.,.,.,#,.
.,.,.,#,.,.,.,.

=,=,=,=,=,=,=,=

.,.,#,.,.,.,.,.
.,.,.,.,#,.,.,.
.,#,.,.,.,.,.,.
.,.,.,.,.,.,.,#
.,.,.,.,.,#,.,.
.,.,.,#,.,.,.,.
.,.,.,.,.,.,#,.
#,.,.,.,.,.,.,.

=,=,=,=,=,=,=,=

